name,latency,read_uncached,write,price
Apacer Technology 78.B1GET.9K00C 4GB,25,14061,8281,NA
Apacer Technology 78.B1GET.9KZ0C 4GB,42,9132,4755,NA
Apacer Technology 78.B1GET.CPZ0C 4GB,25,12438,7589,NA
Apacer Technology 78.B2GC8.AF1 4GB,33,9291,5138,NA
Apacer Technology 78.BAGEJ.9LK0C 4GB,25,13535,9448,NA
Apacer Technology 78.BAGEJ.AFK0C 4GB,24,13920,9547,NA
Apacer Technology 78.BAGFL.AFD0C 4GB,22,17226,11837,NA
Apacer Technology 78.C1GEP.CP10C 8GB,28,12262,8668,NA
Apacer Technology 78.C1GET.9K10C 8GB,26,10526,6114,NA
Apacer Technology 78.C1GET.9L10C 8GB,24,14071,9414,NA
Apacer Technology 78.C1GET.CP10C 8GB,28,13188,9449,NA
Apacer Technology 78.CAGF8.9KK0C 8GB,26,13783,8440,NA
Apacer Technology 78.CAGF8.CPK0C 8GB,26,14725,9850,NA
Apacer Technology 78.CAGGT.DFK0C 8GB,23,15921,9930,NA
Apacer Technology 78.CAGH1.AFK0C 8GB,22,16244,11606,NA
Apacer Technology AQD-D3L8GN16-MG 8GB,50,7936,7284,NA
ASint Technology C1RE5LU4HN1 2GB,27,14309,8750,NA
ASint Technology SLA302G08-EDJ1C 4GB,28,14176,8430,NA
ASint Technology SLA302G08-GGNHC 4GB,25,14308,9355,NA
ASint Technology SLA302G08-GGNNG 4GB,27,13773,9027,NA
ASint Technology SLA302G08-MGJHB 4GB,22,15425,10115,NA
ASint Technology SLA304G08-EDJ1B 4GB,28,13842,7700,NA
ASint Technology SLA304G08-GGNHM 4GB,32,11192,6469,NA
ASint Technology SLB304G08-EDJ1B 8GB,27,10830,5716,NA
ASint Technology SLB304G08-GGNHM 8GB,26,12409,7557,NA
ASint Technology SSA302G08-GGNHC 4GB,29,12772,8899,NA
Avant Technology F641GU67F1600G 8GB,31,12466,9029,NA
Avant Technology F641GU67F9333G 8GB,28,11113,6456,NA
Avant Technology F641GU67G1600G 8GB,27,13031,7951,NA
Avant Technology F6451U67F1600G 4GB,26,12607,7971,NA
Avant Technology F6451U67F9333G 4GB,26,14634,7708,NA
Avant Technology F6451U67G1600G 4GB,27,13057,7578,NA
Avant Technology H641GU67F7066G 8GB,34,6417,4831,NA
Avant Technology H641GU67G1600G 8GB,29,12676,8547,NA
Avant Technology H642GU42G1600G 16GB,29,13887,10076,NA
Avexir Technologies Corporation DDR3 2400 CL10 4GB 4GB,23,15639,10989,NA
Avexir Technologies Corporation DDR3-1600 CL10 8GB,25,14714,10047,NA
Avexir Technologies Corporation DDR3-1600 CL11 4GB 4GB,26,14402,8955,NA
Avexir Technologies Corporation DDR3-1600 CL11 8GB 8GB,25,14267,9281,NA
Avexir Technologies Corporation DDR3-1600 CL9 4GB,26,14407,9028,NA
Avexir Technologies Corporation DDR3-1866 CL9 4GB,24,14853,9464,NA
Avexir Technologies Corporation DDR3-1866 CL9 8GB 8GB,26,14834,9925,NA
Avexir Technologies Corporation DDR3-2000 CL9 8GB 8GB,20,16297,12054,NA
Avexir Technologies Corporation DDR3-2133 CL11 4GB 4GB,23,16336,10590,NA
Avexir Technologies Corporation DDR3-2133 CL11 8GB 8GB,23,16377,11595,NA
Avexir Technologies Corporation DDR3-2133 CL9 4GB,22,16018,11117,NA
Avexir Technologies Corporation DDR3-2133 CL9 8GB 8GB,26,14438,9499,NA
Avexir Technologies Corporation DDR3-2400 CL10 4GB,23,16972,11090,NA
Avexir Technologies Corporation DDR3-2400 CL10 8GB 8GB,22,16544,12217,NA
Avexir Technologies Corporation DDR3-2400 CL11 4GB 4GB,21,17945,11796,NA
Avexir Technologies Corporation DDR3-2400 CL11 8GB 8GB,21,17112,12266,NA
Avexir Technologies Corporation DDR3-2666 CL11 4GB,21,16879,11230,NA
Avexir Technologies Corporation DDR3-2800 CL12 4GB,22,15906,11472,NA
Avexir Technologies Corporation DDR3-2800 CL12 8GB 8GB,19,20140,12689,NA
Avexir Technologies Corporation DDR3-2933 CL12 4GB 4GB,22,16123,10031,NA
Avexir Technologies Corporation GD16004G51 4GB,28,12030,6689,NA
Avexir Technologies Corporation Michel Exel 4GB,25,14703,9435,NA
Avexir Technologies Corporation MSI Z77 MPOWER 4GB,24,16166,11632,NA
Buffalo (Formerly Melco) 2GB,31,10288,6220,NA
Carry Technology Co. Ltd. S3A8G93-16GBPE3A00 8GB,34,10864,8417,NA
Carry Technology Co. Ltd. S3A8GA3-16GBJT3A00 8GB,28,12014,8017,NA
Carry Technology Co. Ltd. U3A4G83-16G9LN2B00 4GB,24,16348,10001,NA
Carry Technology Co. Ltd. U3A4G93-13G9BE3B00 4GB,27,13921,7523,NA
Carry Technology Co. Ltd. U3A8G93-13G9HE3B00 8GB,26,14005,8264,NA
Carry Technology Co. Ltd. U3A8G93-16GBBE3B00 8GB,25,13610,8581,NA
Carry Technology Co. Ltd. U3A8G93-16GBHT3B00 8GB,31,10405,8090,NA
Carry Technology Co. Ltd. U3A8G93-18G9KHAB00 8GB,34,10695,8423,NA
Carry Technology Co. Ltd. U3A8G93-21G9KHAC00 8GB,22,17023,11416,NA
Centon Electronics SPD0060 8GB,29,11711,8256,NA
Centon Electronics SPD0156 8GB,45,8145,6443,NA
Centon Electronics SPD0288 8GB,26,15100,9991,NA
Century Micro Inc. CENTURY HQ MEMORY 1GB,25,15023,9898,NA
Corsair CM3B4G1C1600L9 4GB,25,14670,8555,NA
Corsair CM3B4G1D1600K11S 4GB,28,13147,8201,NA
Corsair CM3B4G2C1600L11 4GB,27,13804,8803,NA
Corsair CM3B4G2C1600L9 4GB,23,15237,9804,NA
Corsair CM3B8G2C1600L11 8GB,25,14142,8979,NA
Corsair CM3B8G2C1600L9L 8GB,26,14068,8973,NA
Corsair CM3B8G2D1600K11S 8GB,32,11712,8759,NA
Corsair CM3X1024-1333C9DHX 1GB,27,14110,8823,NA
Corsair CM3X1G1600C9 1GB,23,13563,7905,NA
Corsair CM3X2G1333C9 2GB,27,12721,7899,NA
Corsair CM3X2G1333C9D 2GB,26,12617,7738,NA
Corsair CM3X2G1333C9DHX 2GB,29,12510,7573,NA
Corsair CM3X2G1600C7 2GB,20,13497,7989,NA
Corsair CM3X2G1600C8 2GB,25,14479,8700,NA
Corsair CM3X2G1600C8D 2GB,25,13468,8562,NA
Corsair CM3X2G1600C9 2GB,26,13000,8412,NA
Corsair CM3X2G1600C9B6 2GB,27,12488,8710,NA
Corsair CM3X2G1600C9DHX 2GB,25,14312,8521,NA
Corsair CM3X2G1600C9NX 2GB,24,12773,8906,NA
Corsair CM3X2G1866C9D 2GB,23,14851,9050,NA
Corsair CM3X4GAD1600C9A4 4GB,24,15598,10130,NA
Corsair CM3X4GB2133C11Y4 4GB,22,16518,10580,NA
Corsair CM3X4GBA1600C9V4 4GB,25,12375,9591,NA
Corsair CM3X8GA1600C10V2 8GB,26,9862,4863,NA
Corsair CM3X8GA1866C10L4 8GB,24,15777,10284,NA
Corsair CM3X8GA2133C11Y4 8GB,23,16658,11558,NA
Corsair CM3X8GA2133C9D8 8GB,22,13968,11342,NA
Corsair CM3X8GB1600C9L4 8GB,24,15201,10642,NA
Corsair CMD12GX3M6A1600C8 2GB,36,9630,9415,NA
Corsair CMD16GX3M2A1600C7 8GB,24,15141,9091,$169.99*
Corsair CMD16GX3M2A1600C9 8GB,25,14550,9137,$133.99*
Corsair CMD16GX3M2A1866C10 8GB,27,14180,9413,$162.37*
Corsair CMD16GX3M2A1866C9 8GB,24,14872,9763,$119.99*
Corsair CMD16GX3M2A2133C9 8GB,23,15714,10663,$129.99*
Corsair CMD16GX3M2A2400C10 8GB,23,15626,10951,$179.99*
Corsair CMD16GX3M2A2400C11 8GB,24,15668,10854,$164.42*
Corsair CMD16GX3M2A2666C11 8GB,20,16736,11150,$249.99*
Corsair CMD16GX3M2A2666C12 8GB,21,16304,10538,$222.99*
Corsair CMD16GX3M4A1600C7 4GB,26,13816,9796,$189.99*
Corsair CMD16GX3M4A1866C9 4GB,23,15016,10581,$235.45*
Corsair CMD16GX3M4A2133C8 4GB,21,17341,11159,$397.19*
Corsair CMD16GX3M4A2133C9 4GB,21,15566,11874,$319.99*
Corsair CMD16GX3M4A2400C10 4GB,23,14814,10997,$199.99*
Corsair CMD16GX3M4A2400C11 4GB,23,14714,10720,$198.82*
Corsair CMD16GX3M4A2400C9 4GB,21,15940,12170,$469.99*
Corsair CMD16GX3M4A2666C10 4GB,17,18646,12387,$579.99*
