name,price,mark,value,single_thread,single_thread_value,tdp,powerperf,testdate,socket,category
AMD Ryzen Threadripper 2970WX,"$1,079.99",18950,17.55,1989,1.84,250,75,Nov 2018,sTR4,Desktop
AMD Ryzen Threadripper 2990WX,"$1,729.99",24082,13.92,2131,1.23,250,96,Aug 2018,sTR4,Desktop
AMD Ryzen Threadripper 2990X,NA,18311,NA,2083,NA,250,73,Oct 2018,TR4,Desktop
AMD Sempron 130,$24.99*,656,26.29,713,28.56,45,14,Apr 2012,AM2+/AM3,Unknown
AMD Sempron 140,$39.59*,735,18.57,835,21.10,45,16,Aug 2009,AM3,Desktop
AMD Sempron 145,$16.98,805,47.46,885,52.15,45,17,Oct 2010,AM3,Desktop
AMD Sempron 150,$44.95*,707,15.74,832,18.52,45,15,Apr 2011,AM3,Desktop
AMD Sempron 200U,$87.00*,267,3.08,NA,NA,8,33,May 2011,NA,Unknown
AMD Sempron 2100+,NA,392,NA,NA,NA,8,49,Oct 2009,NA,Unknown
AMD Sempron 210U,NA,391,NA,452,NA,15,26,Jul 2009,NA,Unknown
AMD Sempron 2200+,$29.99*,281,9.38,427,14.25,NA,NA,Jan 2009,Socket A,Desktop
AMD Sempron 2300+,$45.00*,318,7.07,483,10.73,NA,NA,Mar 2009,Socket A,Desktop
AMD Sempron 240,$58.00,2110,36.39,1226,21.15,65,32,Oct 2018,FM2,Desktop
AMD Sempron 2400+,$26.00,313,12.06,492,18.96,NA,NA,Dec 2008,Socket A,Desktop
AMD Sempron 2500+,$94.95,335,3.54,457,4.82,NA,NA,Mar 2009,Socket A,Desktop
AMD Sempron 2600+,$34.95,373,10.70,470,13.47,NA,NA,Dec 2008,Socket A,Desktop
AMD Sempron 2650 APU,$40.00,947,23.69,538,13.45,25,37,Apr 2014,"AM1,FSB1",Desktop
AMD Sempron 2800+,$19.99,383,19.18,486,24.33,62,6,Dec 2008,AM2,Desktop
AMD Sempron 3000+,$20.00,409,20.47,514,25.72,62,6,Dec 2008,AM2,Desktop
AMD Sempron 3100+,$60.00*,452,7.53,539,9.00,62,7,Mar 2009,754,Desktop
AMD Sempron 3200+,$131.22,406,3.10,487,3.72,62,6,Jan 2009,AM2,Desktop
AMD Sempron 3300+,$60.00,484,8.07,605,10.09,62,7,Dec 2008,754,Desktop
AMD Sempron 3400+,$131.22,454,3.46,522,3.98,62,7,Dec 2008,AM2,Desktop
AMD Sempron 3500+,$20.00*,379,18.98,480,24.02,62,6,Mar 2009,AM2,Desktop
AMD Sempron 3600+,$12.00*,487,40.59,564,47.07,62,7,Mar 2009,AM2,Desktop
AMD Sempron 3800+,$152.92,554,3.62,649,4.25,62,8,Dec 2008,AM2,Desktop
AMD Sempron 3850 APU,$42.93,1716,39.97,513,11.95,25,68,Apr 2014,"AM1,FS1b",Desktop
AMD Sempron Dual Core 2100,$39.00*,936,24.02,557,14.29,65,14,Mar 2009,NA,Unknown
AMD Sempron Dual Core 2200,NA,995,NA,578,NA,65,15,May 2009,NA,Unknown
AMD Sempron Dual Core 2300,$41.99*,982,23.39,621,14.81,65,15,Sep 2009,NA,Unknown
AMD Sempron Dual Core 4700,NA,948,NA,NA,NA,NA,NA,Mar 2009,NA,Unknown
AMD Sempron Dual Core 4900,NA,1081,NA,NA,NA,NA,NA,Aug 2010,NA,Unknown
AMD Sempron LE-1100,NA,438,NA,524,NA,45,9,Mar 2009,AM2,Desktop
AMD Sempron LE-1150,NA,445,NA,552,NA,45,9,Mar 2009,AM2,Desktop
AMD Sempron LE-1200,NA,528,NA,609,NA,45,11,Mar 2009,AM2,Desktop
AMD Sempron LE-1250,$99.95*,541,5.41,601,6.01,45,12,Feb 2009,AM2,Desktop
AMD Sempron LE-1300,$20.00,605,30.28,626,31.30,45,13,May 2009,AM2,Desktop
AMD Sempron LE-1600,NA,535,NA,NA,NA,NA,NA,Jul 2009,NA,Unknown
AMD Sempron LE-1620,NA,635,NA,NA,NA,NA,NA,Mar 2009,NA,Unknown
AMD Sempron LE-1640,NA,759,NA,NA,NA,45,16,Oct 2012,AM2,Unknown
AMD Sempron LE-250,NA,490,NA,NA,NA,NA,NA,Dec 2011,NA,Unknown
AMD Sempron M100,$12.00*,558,46.58,613,51.13,NA,NA,Nov 2009,NA,Unknown
AMD Sempron M120,NA,582,NA,629,NA,25,23,Feb 2010,S1,Laptop
AMD Sempron SI-40,$12.00*,443,36.93,536,44.71,25,17,Mar 2009,S1,Laptop
AMD Sempron SI-42,$30.01,454,15.16,529,17.65,25,18,Mar 2009,S1,Laptop
AMD Sempron X2 180,$69.40*,1222,17.62,679,9.80,45,27,Dec 2011,NA,Unknown
AMD Sempron X2 190,$83.44*,1509,18.09,865,10.38,45,33,Jun 2012,AM2+/AM3,Unknown
AMD Sempron X2 198 Dual-Core,NA,1413,NA,851,NA,65,21,May 2015,FM1,Desktop
AMD Turion 64 Mobile MK-36,NA,465,NA,542,NA,31,15,Jan 2009,S1,Laptop
AMD Turion 64 Mobile MK-38,NA,513,NA,614,NA,31,16,Mar 2009,S1,Laptop
AMD Turion 64 Mobile ML-28,NA,390,NA,482,NA,25,15,Mar 2009,754,Laptop
AMD Turion 64 Mobile ML-30,NA,402,NA,484,NA,35,11,Mar 2009,754,Laptop
AMD Turion 64 Mobile ML-32,NA,409,NA,502,NA,35,11,Dec 2008,754,Laptop
AMD Turion 64 Mobile ML-34,NA,425,NA,505,NA,35,12,Feb 2009,754,Laptop
AMD Turion 64 Mobile ML-37,$196.50*,442,2.25,544,2.77,35,12,Mar 2009,754,Laptop
AMD Turion 64 Mobile ML-40,NA,522,NA,647,NA,35,14,Feb 2009,754,Laptop
AMD Turion 64 Mobile ML-42,NA,615,NA,699,NA,35,17,May 2009,754,Laptop
AMD Turion 64 Mobile ML-44,NA,591,NA,721,NA,35,16,Mar 2009,754,Laptop
AMD Turion 64 Mobile MT-28,NA,419,NA,NA,NA,25,16,Jul 2009,754,Laptop
AMD Turion 64 Mobile MT-30,NA,378,NA,451,NA,25,15,Mar 2009,754,Laptop
AMD Turion 64 Mobile MT-32,NA,426,NA,533,NA,24,17,Mar 2009,754,Laptop
AMD Turion 64 Mobile MT-34,NA,429,NA,504,NA,24,17,Mar 2009,754,Laptop
AMD Turion 64 Mobile MT-37,NA,484,NA,583,NA,25,19,Mar 2009,754,Laptop
AMD Turion 64 Mobile MT-40,NA,536,NA,NA,NA,25,21,Sep 2009,754,Laptop
AMD Turion 64 X2 Mobile TL-50,$49.99*,747,14.95,464,9.29,31,24,Feb 2009,S1,Laptop
AMD Turion 64 X2 Mobile TL-52,NA,765,NA,472,NA,31,24,Feb 2009,S1,Laptop
AMD Turion 64 X2 Mobile TL-56,$20.00*,886,44.33,535,26.78,31,28,Feb 2009,S1,Laptop
AMD Turion 64 X2 Mobile TL-58,NA,945,NA,560,NA,31,30,Feb 2009,S1,Laptop
AMD Turion 64 X2 Mobile TL-60,$23.95*,993,41.47,589,24.61,31,32,Feb 2009,S1,Laptop
AMD Turion 64 X2 Mobile TL-62,$311.00*,1087,3.50,623,2.00,35,31,Mar 2009,S1,Laptop
AMD Turion 64 X2 Mobile TL-64,$39.39*,1110,28.20,645,16.38,35,31,Mar 2009,S1,Laptop
AMD Turion 64 X2 Mobile TL-66,$378.00*,1141,3.02,674,1.78,35,32,Apr 2009,S1,Laptop
AMD Turion 64 X2 Mobile TL-68,$90.00*,1162,12.92,691,7.68,35,33,Mar 2009,S1,Laptop
AMD Turion Dual-Core RM-70,$25.00*,904,36.16,548,21.94,31,29,Dec 2008,S1,Laptop
AMD Turion Dual-Core RM-72,$38.00*,860,22.65,497,13.09,35,24,Feb 2009,S1,Laptop
AMD Turion Dual-Core RM-74,NA,1016,NA,542,NA,35,29,Jan 2014,S1,Laptop
AMD Turion Dual-Core RM-75,$27.46*,977,35.61,516,18.81,35,27,Aug 2009,S1,Laptop
AMD Turion II Dual-Core Mobile M500,NA,1294,NA,741,NA,35,36,Oct 2009,S1,Laptop
AMD Turion II Dual-Core Mobile M520,$69.10*,1305,18.89,738,10.69,35,37,Oct 2009,S1,Laptop
AMD Turion II Dual-Core Mobile M540,NA,1338,NA,807,NA,35,38,Aug 2011,S1,Laptop
AMD Turion II N530 Dual-Core,$30.00*,1583,52.78,859,28.64,35,45,Jun 2010,S1,Laptop
AMD Turion II N550 Dual-Core,NA,1521,NA,781,NA,35,43,Mar 2011,S1,Laptop
AMD Turion II Neo K625 Dual-Core,NA,973,NA,507,NA,15,64,Jun 2010,S1,Laptop
AMD Turion II Neo K685 Dual-Core,NA,1186,NA,639,NA,15,79,Jan 2011,BGA812,Laptop
AMD Turion II Neo N40L Dual-Core,NA,924,NA,501,NA,15,61,Dec 2011,BGA812,Laptop
AMD Turion II Neo N54L Dual-Core,NA,1376,NA,720,NA,25,55,Oct 2011,BGA812,Laptop
AMD Turion II P520 Dual-Core,NA,1357,NA,762,NA,25,54,Jun 2010,S1,Laptop
AMD Turion II P540 Dual-Core,$49.95*,1429,28.62,769,15.40,35,40,Sep 2010,S1,Laptop
AMD Turion II P560 Dual-Core,NA,1513,NA,823,NA,25,60,Jan 2011,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M600,$17.81*,1406,78.98,792,44.48,35,40,Oct 2009,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M620,NA,1427,NA,805,NA,35,40,Feb 2010,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M640,NA,1669,NA,916,NA,35,47,Nov 2009,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M660,NA,1533,NA,898,NA,35,43,Mar 2010,S1,Laptop
AMD Turion Neo X2 Dual Core L625,NA,819,NA,465,NA,18,45,Jun 2009,ASB1,Laptop
AMD Turion X2 Dual Core L510,NA,923,NA,510,NA,20,46,Jul 2010,ASB1,Laptop
AMD Turion X2 Dual Core Mobile RM-70,$132.56*,858,6.48,459,3.47,31,27,Nov 2009,S1,Laptop
AMD Turion X2 Dual Core Mobile RM-76,NA,1059,NA,580,NA,35,30,Sep 2009,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-70,NA,994,NA,553,NA,31,32,Mar 2009,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-72,$224.26*,1083,4.83,597,2.66,35,30,Nov 2008,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-74,$24.95*,1059,42.48,580,23.26,35,30,Apr 2009,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-75,NA,1137,NA,606,NA,35,32,May 2009,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-77,NA,1149,NA,657,NA,35,32,Jul 2009,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,$14.00*,1014,72.45,560,40.03,32,31,Mar 2009,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,NA,1084,NA,588,NA,35,30,Feb 2009,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,$12.84,1213,94.53,634,49.38,35,34,Feb 2009,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,$45.00*,1234,27.43,665,14.79,35,35,Aug 2009,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,$55.00*,1297,23.58,627,11.41,35,37,Apr 2009,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,$39.95*,1267,31.72,686,17.19,35,36,Apr 2009,S1,Laptop
AMD TurionX2 Dual Core Mobile RM-70,NA,997,NA,571,NA,31,32,Feb 2009,S1,Laptop
AMD TurionX2 Dual Core Mobile RM-72,NA,1026,NA,559,NA,35,29,Apr 2009,S1,Laptop
AMD TurionX2 Ultra DualCore Mobile ZM-85,NA,1454,NA,624,NA,35,41,Feb 2014,S1,Laptop
AMD V105,NA,299,NA,355,NA,9,33,Oct 2010,BGA812,Laptop
AMD V120,NA,623,NA,663,NA,25,24,Jun 2010,S1,Laptop
AMD V140,$49.95*,642,12.86,697,13.96,25,25,Oct 2010,S1,Laptop
AMD V160,NA,679,NA,729,NA,25,27,Jan 2011,S1,Laptop
AMD Z-01,NA,523,NA,244,NA,NA,NA,Dec 2011,NA,Unknown
AMD Z-60 APU,NA,500,NA,273,NA,4.5,111,Mar 2013,FT1,Laptop
AMD-K6 3D,NA,90,NA,NA,NA,NA,NA,Oct 2011,NA,Unknown
AMD-K6-III,NA,108,NA,NA,NA,NA,NA,Jul 2010,NA,Unknown
AMD-K7,NA,403,NA,NA,NA,NA,NA,Mar 2009,NA,Unknown
Athlon 64 Dual Core 3800+,NA,1234,NA,570,NA,35,35,May 2014,NA,Unknown
Athlon 64 Dual Core 4200+,$204.95*,1156,5.64,NA,NA,89,12,Nov 2009,NA,Unknown
Athlon 64 Dual Core 4800+,NA,1370,NA,NA,NA,110,12,Oct 2010,AM2,Desktop
Athlon 64 Dual Core 5000+,NA,1507,NA,802,NA,89,16,Mar 2009,NA,Desktop
Athlon 64 Dual Core 5400+,NA,1614,NA,NA,NA,89,18,Mar 2011,NA,Unknown
Athlon 64 Dual Core 5600+,NA,1548,NA,886,NA,65,23,Feb 2010,AM2,Desktop
Athlon Dual Core 4050e,NA,968,NA,633,NA,45,21,Oct 2009,AM2,Desktop
Athlon Dual Core 4450e,NA,1204,NA,706,NA,45,26,Dec 2009,AM2,Desktop
Athlon Dual Core 4850e,NA,1327,NA,765,NA,45,29,Apr 2009,AM2,Desktop
Celeron Dual-Core Q8300 @ 2.50GHz,NA,2837,NA,NA,NA,95,29,Sep 2009,NA,Desktop
Celeron Dual-Core T3000 @ 1.80GHz,NA,1084,NA,729,NA,35,30,Sep 2009,PGA478,Laptop
Celeron Dual-Core T3100 @ 1.90GHz,NA,1168,NA,765,NA,35,33,Oct 2009,BGA479,Laptop
Celeron Dual-Core T3300 @ 2.00GHz,NA,1200,NA,792,NA,35,34,Jul 2010,μFCPGA-478,Laptop
Celeron Dual-Core T3500 @ 2.10GHz,NA,1276,NA,843,NA,35,36,Nov 2010,PGA478,Laptop
Dual-Core AMD Opteron 1220 SE,NA,1206,NA,748,NA,103,11,Aug 2016,AM2,Server
HP Hexa-Core 2.0GHz,$504.27*,2178,4.32,776,1.54,NA,NA,Nov 2014,NA,Unknown
Intel 1300 @ 1.66GHz,NA,857,NA,NA,NA,NA,NA,Dec 2009,NA,Unknown
Intel 1400 @ 1.83GHz,NA,980,NA,NA,NA,NA,NA,Sep 2011,NA,Unknown
Intel 1500 @ 2.00GHz,NA,1024,NA,NA,NA,NA,NA,Apr 2009,NA,Unknown
Intel Atom 230 @ 1.60GHz,NA,307,NA,242,NA,4,76,Mar 2009,BGA437,Desktop
Intel Atom 330 @ 1.60GHz,NA,587,NA,252,NA,8,73,Feb 2009,BGA437,Desktop
Intel Atom C2338 @ 1.74GHz,NA,898,NA,359,NA,7,128,Oct 2014,FCBGA1283,Laptop
Intel Atom C2358 @ 1.74GHz,NA,961,NA,448,NA,7,137,Jun 2016,FCBGA1283,Laptop
Intel Atom C2538 @ 2.40GHz,$104.00*,2085,20.05,557,5.36,15,139,May 2018,FCBGA1283,Laptop
Intel Atom C2550 @ 2.40GHz,NA,2261,NA,598,NA,14,161,Aug 2014,FCBGA1283,Server
Intel Atom C2558 @ 2.40GHz,$136.00*,2169,15.95,550,4.05,15,144,Jul 2015,BGA 1283,Laptop
Intel Atom C2750 @ 2.40GHz,$232.00*,3806,16.41,583,2.52,20,190,Mar 2014,FCBGA1283,Server
Intel Atom C2750 @ 2.41GHz,NA,3344,NA,447,NA,20,167,Jun 2015,BGA 1283,Server
Intel Atom C2758 @ 2.40GHz,$214.86*,3162,14.72,512,2.39,20,158,Jul 2015,BGA 1283,Laptop
Intel Atom C3538 @ 2.10GHz,$75.00*,2455,32.73,831,11.09,15,163,May 2018,FCBGA1310,Server
Intel Atom C3558 @ 2.20GHz,$86.00*,2538,29.52,875,10.19,16,158,Nov 2017,FCBGA1310,Server
Intel Atom C3858 @ 2.00GHz,$332.00*,4852,14.62,771,2.32,25,194,Jul 2018,FCBGA1310,Server
Intel Atom D2500 @ 1.86GHz,NA,404,NA,291,NA,10,40,Apr 2012,BGA559,Desktop
Intel Atom D2550 @ 1.86GHz,NA,680,NA,303,NA,10,68,Jul 2012,BGA559,Desktop
Intel Atom D2560 @ 2.00GHz,NA,711,NA,325,NA,10,71,Dec 2013,NA,Desktop
Intel Atom D2700 @ 2.13GHz,NA,842,NA,352,NA,10,84,Dec 2011,BGA559,Desktop
Intel Atom D2701 @ 2.13GHz,NA,720,NA,342,NA,10,72,May 2013,BGA559,Laptop
Intel Atom D410 @ 1.66GHz,$635.99*,301,0.47,252,0.40,10,30,Feb 2010,BGA559,Desktop
Intel Atom D425 @ 1.80GHz,$992.98*,345,0.35,277,0.28,10,34,Jan 2011,BGA559,Desktop
Intel Atom D510 @ 1.66GHz,$97.16*,657,6.76,264,2.73,13,50,Jan 2010,BGA559,Desktop
Intel Atom D525 @ 1.80GHz,NA,705,NA,284,NA,13,54,Jun 2010,BGA559,Desktop
Intel Atom E3815 @ 1.46GHz,$149.00,331,2.22,289,1.94,5,66,May 2014,FCBGA1170,Desktop
Intel Atom E3825 @ 1.33GHz,$70.32*,579,8.24,284,4.05,6,96,Jun 2014,FCBGA1170,Desktop
Intel Atom E3826 @ 1.46GHz,NA,489,NA,312,NA,7,69,Jun 2016,FCBGA1170,Laptop
Intel Atom E3827 @ 1.74GHz,NA,849,NA,397,NA,8,106,Mar 2016,FCBGA1170,Laptop
Intel Atom E3840 @ 1.91GHz,NA,1162,NA,396,NA,NA,NA,Jan 2014,NA,Unknown
Intel Atom E3845 @ 1.91GHz,NA,1499,NA,411,NA,10,149,May 2014,FCBGA1170,Desktop
Intel Atom E3940 @ 1.60GHz,NA,1889,NA,675,NA,9.5,198,May 2018,NA,Laptop
Intel Atom E3950 @ 1.60GHz,NA,1827,NA,647,NA,12,152,Nov 2016,BGA1296,Laptop
Intel Atom E660 @ 1.30GHz,$54.00*,271,5.03,NA,NA,3.3,82,Aug 2012,FCBGA676,Laptop
Intel Atom E680 @ 1.60GHz,NA,346,NA,NA,NA,4.5,76,Apr 2012,BGA676,Desktop
Intel Atom K510 @ 1.66GHz,NA,658,NA,NA,NA,NA,NA,Apr 2010,NA,Unknown
Intel Atom N2100 @ 1.60GHz,NA,302,NA,266,NA,NA,NA,Sep 2012,BGA559,Laptop
Intel Atom N2600 @ 1.60GHz,NA,525,NA,251,NA,3.5,150,Feb 2012,BGA559,Laptop
Intel Atom N270 @ 1.60GHz,NA,269,NA,236,NA,2.5,107,Feb 2009,BGA437,Laptop
Intel Atom N280 @ 1.66GHz,NA,283,NA,246,NA,2.5,113,Feb 2009,BGA437,Laptop
Intel Atom N2800 @ 1.86GHz,NA,627,NA,288,NA,6.5,96,Dec 2011,BGA559,Laptop
Intel Atom N435 @ 1.33GHz,NA,261,NA,207,NA,NA,NA,Oct 2011,NA,Unknown
Intel Atom N450 @ 1.66GHz,NA,296,NA,242,NA,5.5,53,Jan 2010,BGA559,Laptop
Intel Atom N455 @ 1.66GHz,NA,283,NA,238,NA,6.5,43,Aug 2010,BGA559,Laptop
Intel Atom N470 @ 1.83GHz,NA,307,NA,253,NA,6.5,47,Apr 2010,BGA559,Laptop
Intel Atom N475 @ 1.83GHz,NA,314,NA,280,NA,6.5,48,Sep 2010,BGA559,Laptop
Intel Atom N550 @ 1.50GHz,$86.00*,525,6.11,235,2.73,8.5,61,Sep 2010,BGA559,Laptop
Intel Atom N570 @ 1.66GHz,$86.00*,573,6.67,257,3.00,8.5,67,Apr 2011,BGA559,Laptop
Intel Atom S1260 @ 2.00GHz,$64.00*,916,14.32,344,5.39,8.5,107,May 2013,FCBGA1283,Server
Intel Atom T5700 @ 1.70GHz,NA,2039,NA,844,NA,NA,NA,Jul 2018,NA,Laptop
Intel Atom x5-E3930 @ 1.30GHz,NA,811,NA,557,NA,6.5,124,Feb 2017,BGA1296,Laptop
Intel Atom x5-E8000 @ 1.04GHz,NA,1623,NA,463,NA,5,324,Apr 2016,FCBGA1170,Laptop
Intel Atom x5-Z8300 @ 1.44GHz,$132.99*,1193,8.97,389,2.93,4,298,Aug 2015,UTFCBGA592,Laptop
Intel Atom x5-Z8330 @ 1.44GHz,NA,1018,NA,429,NA,4,254,Aug 2016,NA,Laptop
Intel Atom x5-Z8350 @ 1.44GHz,$21.00*,1264,60.21,416,19.81,4,316,May 2016,UTFCBGA592,Laptop
Intel Atom x5-Z8500 @ 1.44GHz,$62.57*,1695,27.10,504,8.07,4,423,Aug 2015,UTFCBGA1380,Laptop
Intel Atom x5-Z8550 @ 1.44GHz,NA,1837,NA,555,NA,4,459,Jul 2016,UTFCBGA1380,Laptop
Intel Atom x7-Z8700 @ 1.60GHz,$73.63*,1899,25.80,551,7.49,4,474,Apr 2015,BGA1380,Laptop
Intel Atom x7-Z8750 @ 1.60GHz,NA,1903,NA,589,NA,4,475,Mar 2017,UTFCBGA1380,Laptop
Intel Atom Z2760 @ 1.80GHz,NA,565,NA,271,NA,NA,NA,Sep 2012,FC-MB4760,Laptop
Intel Atom Z3735D @ 1.33GHz,NA,914,NA,351,NA,4.4,207,Jun 2014,NA,Laptop
Intel Atom Z3735E @ 1.33GHz,$117.00*,927,7.93,350,3.00,4.4,210,Jun 2014,UTFCBGA1380,Laptop
Intel Atom Z3735F @ 1.33GHz,$181.30*,908,5.01,355,1.96,4.4,206,Aug 2014,UTFCBGA592,Laptop
Intel Atom Z3735G @ 1.33GHz,NA,909,NA,357,NA,4.4,206,Oct 2014,NA,Laptop
Intel Atom Z3736F @ 1.33GHz,NA,920,NA,386,NA,4.4,209,Oct 2014,UTFCBGA592,Laptop
Intel Atom Z3740 @ 1.33GHz,NA,1062,NA,372,NA,4,265,Jul 2013,UTFCBGA1380,Laptop
Intel Atom Z3740D @ 1.33GHz,NA,1025,NA,336,NA,4.4,232,Jul 2013,UTFCBGA1380,Laptop
Intel Atom Z3745 @ 1.33GHz,$30.00*,1079,35.98,387,12.92,4,269,Feb 2014,UTFCBGA1380,Laptop
Intel Atom Z3745D @ 1.33GHz,NA,1034,NA,365,NA,4.4,234,Oct 2014,NA,Laptop
Intel Atom Z3770 @ 1.46GHz,$149.44*,1245,8.34,474,3.17,4,311,Dec 2013,UTFCBGA1380,Laptop
Intel Atom Z3770D @ 1.49GHz,NA,805,NA,299,NA,4.4,182,May 2014,BGA1380,Laptop
Intel Atom Z3775 @ 1.46GHz,$35.00*,1257,35.92,491,14.05,4,314,Jul 2014,UTFCBGA1380,Laptop
Intel Atom Z3775D @ 1.49GHz,NA,1278,NA,434,NA,4.4,290,Jan 2015,UTFCBGA1380,Laptop
Intel Atom Z3795 @ 1.60GHz,NA,1771,NA,519,NA,4,442,Jun 2014,UTFCBGA1380,Laptop
Intel Atom Z510 @ 1.10GHz,$45.00*,194,4.33,NA,NA,2,97,Jan 2010,BGA441,Laptop
Intel Atom Z515 @ 1.20GHz,NA,218,NA,NA,NA,1.4,155,Oct 2010,BGA441,Laptop
Intel Atom Z520 @ 1.33GHz,NA,215,NA,192,NA,2,107,May 2009,BGA441,Laptop
Intel Atom Z530 @ 1.60GHz,NA,281,NA,248,NA,2,140,Mar 2009,BGA441,Laptop
Intel Atom Z540 @ 1.86GHz,NA,348,NA,NA,NA,2.4,145,Sep 2009,BGA441,Laptop
Intel Atom Z550 @ 2.00GHz,NA,381,NA,NA,NA,2.4,158,Nov 2009,BGA441,Laptop
Intel Atom Z670 @ 1.50GHz,NA,243,NA,199,NA,3,81,Jun 2011,BGA518,Laptop
Intel Celeron 1.70GHz,NA,130,NA,383,NA,NA,NA,Feb 2009,NA,Unknown
Intel Celeron 1.80GHz,NA,136,NA,421,NA,66.1,2,Mar 2009,PPGA478,Desktop
Intel Celeron 1000M @ 1.80GHz,NA,1676,NA,936,NA,35,47,Mar 2013,FCPGA988,Laptop
Intel Celeron 1000MHz,NA,213,NA,267,NA,NA,NA,May 2009,NA,Unknown
Intel Celeron 1005M @ 1.90GHz,NA,1808,NA,994,NA,35,51,Jul 2013,FCPGA988,Laptop
Intel Celeron 1007U @ 1.50GHz,$184.99*,1391,7.52,764,4.13,17,81,Feb 2013,FCBGA1023,Laptop
Intel Celeron 1017U @ 1.60GHz,NA,1519,NA,838,NA,17,89,Jul 2013,FCBGA1023,Laptop
Intel Celeron 1019Y @ 1.00GHz,NA,931,NA,517,NA,10,93,May 2014,FCBGA1023,Desktop
Intel Celeron 1020E @ 2.20GHz,NA,2232,NA,1209,NA,35,63,Jul 2014,"FCBGA1023, FCP",Laptop
Intel Celeron 1037U @ 1.80GHz,NA,1735,NA,955,NA,17,102,Jul 2013,FCBGA1023,Laptop
Intel Celeron 1047UE @ 1.40GHz,NA,1188,NA,519,NA,17,69,Feb 2014,FCBGA1023,Desktop
Intel Celeron 1066MHz,NA,259,NA,NA,NA,NA,NA,Apr 2009,NA,Unknown
Intel Celeron 1100MHz,NA,174,NA,280,NA,NA,NA,Apr 2009,NA,Unknown
Intel Celeron 1133MHz,NA,282,NA,NA,NA,NA,NA,Jul 2009,NA,Unknown
Intel Celeron 1200MHz,NA,244,NA,326,NA,NA,NA,Feb 2009,NA,Unknown
Intel Celeron 1300MHz,NA,288,NA,NA,NA,NA,NA,Dec 2008,NA,Unknown
Intel Celeron 1333MHz,NA,290,NA,NA,NA,NA,NA,Aug 2010,NA,Unknown
Intel Celeron 1400MHz,NA,302,NA,NA,NA,NA,NA,Mar 2009,NA,Unknown
Intel Celeron 2.00GHz,NA,182,NA,458,NA,52.8,3,Feb 2009,PPGA478,Desktop
Intel Celeron 2.10GHz,NA,244,NA,NA,NA,NA,NA,Sep 2009,NA,Unknown
Intel Celeron 2.13GHz,NA,208,NA,472,NA,NA,NA,Jan 2009,NA,Unknown
Intel Celeron 2.20GHz,NA,213,NA,537,NA,NA,NA,Mar 2009,NA,Unknown
Intel Celeron 2.26GHz,NA,223,NA,517,NA,NA,NA,Mar 2009,NA,Unknown
Intel Celeron 2.30GHz,NA,227,NA,559,NA,NA,NA,Feb 2009,NA,Unknown
Intel Celeron 2.40GHz,NA,217,NA,541,NA,NA,NA,Dec 2008,NA,Unknown
Intel Celeron 2.50GHz,NA,247,NA,625,NA,NA,NA,Jan 2009,NA,Unknown
Intel Celeron 2.53GHz,NA,245,NA,559,NA,NA,NA,Dec 2008,NA,Unknown
Intel Celeron 2.60GHz,NA,238,NA,602,NA,NA,NA,Feb 2009,NA,Unknown
Intel Celeron 2.66GHz,NA,250,NA,574,NA,NA,NA,Feb 2009,NA,Unknown
Intel Celeron 2.70GHz,NA,245,NA,593,NA,NA,NA,Mar 2009,NA,Unknown
Intel Celeron 2.80GHz,NA,254,NA,600,NA,68.4,3,Dec 2008,PPGA478,Desktop
Intel Celeron 2.93GHz,NA,283,NA,631,NA,NA,NA,Mar 2009,NA,Unknown
Intel Celeron 2000E @ 2.20GHz,NA,2365,NA,1317,NA,37,63,Jan 2017,FCBGA1364,Laptop
Intel Celeron 2002E @ 1.50GHz,$86.00*,1605,18.67,894,10.41,25,64,Nov 2018,FCBGA1364,Laptop
Intel Celeron 215 @ 1.33GHz,NA,322,NA,487,NA,27,11,Nov 2009,BGA479,Laptop
Intel Celeron 220 @ 1.20GHz,NA,320,NA,392,NA,19,16,Mar 2009,BGA479,Desktop
Intel Celeron 2950M @ 2.00GHz,NA,1997,NA,1147,NA,37,53,Apr 2014,FCPGA946,Laptop
Intel Celeron 2955U @ 1.40GHz,NA,1419,NA,780,NA,15,94,Oct 2013,FCBGA1168,Laptop
Intel Celeron 2957U @ 1.40GHz,NA,1437,NA,799,NA,15,95,Apr 2014,FCBGA1168,Laptop
Intel Celeron 2961Y @ 1.10GHz,NA,1110,NA,649,NA,11.5,96,Feb 2015,NA,Laptop
