name,price,mark,value,single_thread,single_thread_value,tdp,powerperf,testdate,socket,category
AMD A4-6250J APU,NA,2556,NA,786,NA,25,102,Dec 2014,NA,Unknown
AMD A4-6300 APU,$33.99,2224,65.43,1359,39.99,65,34,Nov 2013,FM2,Desktop
AMD A4-6300B APU,$100.00*,2129,21.30,1397,13.98,65,32,Dec 2013,NA,Desktop
AMD A4-6320 APU,$69.99,2329,33.29,1425,20.37,65,35,Apr 2014,FM2,Desktop
AMD A4-7210 APU,NA,2512,NA,834,NA,25,100,Jul 2015,BGA,Laptop
AMD A4-7300 APU,$118.00,2293,19.44,1389,11.78,65,35,Sep 2014,FM2,Desktop
AMD A4-9120,NA,1932,NA,1125,NA,15,128,Sep 2017,BGA,Laptop
AMD A4-9125,NA,2141,NA,1133,NA,15,142,Nov 2018,BGA (FT4),Laptop
AMD A6 Micro-6500T APU,NA,1834,NA,699,NA,NA,NA,Jan 2016,NA,Laptop
AMD A6 PRO-7050B APU,NA,1616,NA,864,NA,17,95,Sep 2014,FP3,Laptop
AMD A6 PRO-7400B,NA,2690,NA,1630,NA,65,41,Dec 2014,FM2+,Desktop
AMD A6-1450 APU,NA,1530,NA,502,NA,8,191,May 2013,FT3,Laptop
AMD A6-3400M APU,$29.97*,1884,62.88,537,17.94,35,53,Jun 2011,FS1,Laptop
AMD A6-3410MX APU,$3.99,2054,514.93,590,147.97,45,45,Jul 2011,FS1,Laptop
AMD A6-3420M APU,NA,2002,NA,591,NA,35,57,Jan 2012,FS1,Laptop
AMD A6-3430MX APU,NA,2204,NA,646,NA,45,48,Feb 2012,FS1,Laptop
AMD A6-3500 APU,$84.09,2012,23.93,748,8.91,65,30,Sep 2011,FM1,Desktop
AMD A6-3600 APU,$22.99*,2703,117.61,756,32.91,65,41,Nov 2011,FM1,Desktop
AMD A6-3620 APU,$59.99*,2799,46.66,789,13.15,65,43,Feb 2012,FM1,Desktop
AMD A6-3650 APU,$31.99,3153,98.58,901,28.19,100,31,Jul 2011,FM1,Desktop
AMD A6-3670 APU,$92.05,3171,34.45,931,10.12,100,31,Jan 2012,FM1,Desktop
AMD A6-4400M APU,$39.86*,1635,41.03,991,24.88,35,46,Apr 2012,FS1r2,Laptop
AMD A6-4455M APU,NA,1283,NA,762,NA,17,75,Jul 2012,FP2,Laptop
AMD A6-5200 APU,NA,2424,NA,778,NA,25,96,Jul 2013,FT3,Laptop
AMD A6-5345M APU,NA,1476,NA,862,NA,17,86,Apr 2014,FP2,Laptop
AMD A6-5350M APU,$59.95,1916,31.96,1153,19.24,35,54,Jul 2013,FS1r2,Laptop
AMD A6-5357M APU,NA,1941,NA,1130,NA,35,55,Oct 2013,FP2,Laptop
AMD A6-5400B APU,$105.04*,2219,21.13,1335,12.71,65,34,Nov 2013,FM2,Desktop
AMD A6-5400K APU,$129.95,2151,16.55,1307,10.06,65,33,Oct 2012,FM2,Desktop
AMD A6-6310 APU,NA,2450,NA,842,NA,15,163,Jul 2014,FT3,Laptop
AMD A6-6400B APU,NA,2281,NA,1386,NA,65,35,Feb 2014,FM2,Desktop
AMD A6-6400K APU,$69.99,2303,32.91,1402,20.04,65,35,Jul 2013,FM2,Desktop
AMD A6-6420B APU,NA,2612,NA,1579,NA,65,40,Nov 2014,FM2,Desktop
AMD A6-6420K APU,$149.99*,2361,15.75,1466,9.77,65,36,Oct 2014,FM2,Desktop
AMD A6-7000,NA,1671,NA,910,NA,17,98,Feb 2015,FP3,Laptop
AMD A6-7310 APU,NA,2662,NA,900,NA,25,106,Jun 2015,NA,Laptop
AMD A6-7400K APU,$51.24,2778,54.23,1579,30.82,65,42,Oct 2014,FM2+,Desktop
AMD A6-7470K,$243.00,2727,11.22,1656,6.82,65,41,May 2016,FM2+,Desktop
AMD A6-8500P,NA,2202,NA,1315,NA,15,146,May 2016,BGA (FP4),Laptop
AMD A6-8550,NA,3104,NA,1703,NA,65,47,Nov 2015,FM2+,Desktop
AMD A6-9200,NA,1718,NA,952,NA,10,171,Mar 2018,BGA,Laptop
AMD A6-9210,NA,1791,NA,1109,NA,15,119,Jul 2016,FP4,Laptop
AMD A6-9220,NA,2174,NA,1229,NA,15,144,Aug 2017,NA,Laptop
AMD A6-9220e,NA,1600,NA,898,NA,NA,NA,Feb 2018,NA,Laptop
AMD A6-9225,NA,2012,NA,1173,NA,15,134,Aug 2018,BGA (FT4),Laptop
AMD A6-9230,NA,2102,NA,1241,NA,15,140,Aug 2017,NA,Desktop
AMD A6-9500,$56.00,3003,53.64,1775,31.71,65,46,Dec 2016,AM4,Desktop
AMD A6-9500E,$84.89,2889,34.04,1631,19.22,35,82,Oct 2018,AM4,Desktop
AMD A8 PRO-7150B APU,NA,2665,NA,835,NA,19,140,Jul 2014,FP3,Laptop
AMD A8 PRO-7600B APU,NA,4801,NA,1453,NA,65,73,Sep 2014,FM2+,Desktop
AMD A8-3500M APU,$69.95*,1972,28.20,555,7.94,35,56,Jul 2011,FS1,Laptop
AMD A8-3510MX APU,NA,2370,NA,690,NA,45,52,Aug 2011,FS1,Laptop
AMD A8-3520M APU,NA,2178,NA,638,NA,35,62,Jan 2012,FS1,Laptop
AMD A8-3530MX APU,NA,2371,NA,695,NA,45,52,Jul 2011,FS1,Laptop
AMD A8-3550MX APU,NA,2610,NA,736,NA,45,58,Mar 2012,FS1,Laptop
AMD A8-3800 APU,$56.99,3023,53.06,855,15.01,65,46,Sep 2011,FM1,Desktop
AMD A8-3820 APU,$124.99*,3114,24.92,875,7.01,65,47,Jan 2012,FM1,Desktop
AMD A8-3850 APU,$105.68*,3467,32.81,994,9.41,100,34,Jun 2011,FM1,Desktop
AMD A8-3870K APU,$49.99,3542,70.87,1026,20.53,100,35,Dec 2011,FM1,Desktop
AMD A8-4500M APU,NA,2666,NA,856,NA,35,76,May 2012,FS1r2,Laptop
AMD A8-4555M APU,NA,2122,NA,716,NA,19,111,Oct 2012,FP2,Laptop
