name,cpu_score,gpu_score,rank
Samsung SM-J727T1,3236,82959,593
Samsung SM-J727U,3068,79501,617
Samsung SM-J727V,5144,118499,320
Samsung SM-J727VPP,4827,110155,346
Samsung SM-J730F,3657,88677,500
Samsung SM-J730G,3590,86236,512
Samsung SM-J730GM,3657,88508,501
Samsung SM-N910A,4922,87740,339
Samsung SM-N910F,4726,81397,359
Samsung SM-N910G,5107,90210,327
Samsung SM-N910T,5028,84558,332
Samsung SM-N910T3,5052,96490,331
Samsung SM-N910V,4881,81427,342
Samsung SM-N935F,8828,128149,116
Samsung SM-N9600,14776,232558,26
Samsung SM-N960F,13370,173375,44
Samsung SM-N960U,14741,226791,28
Samsung SM-N960U1,15093,232053,22
Samsung SM-N960W,14737,236706,29
Samsung SM-P580,3748,88850,486
Samsung SM-S327VL,2467,44308,677
Samsung SM-S367VL,4765,100215,355
Samsung SM-S727VL,2652,46649,655
Samsung SM-S767VL,6609,129809,211
Samsung SM-S903VL,3225,75632,597
Samsung SM-T350,2155,40486,699
Samsung SM-T380,2551,45240,669
Samsung SM-T387V,2556,46730,668
Samsung SM-T395,3403,89445,557
Samsung SM-T550,2191,42348,692
Samsung SM-T555,2123,38026,706
Samsung SM-T560NU,2141,40978,703
Samsung SM-T580,3690,89446,491
Samsung SM-T585,3433,74373,546
Samsung SM-T710,5775,110403,254
Samsung SM-T810,5927,133141,246
Samsung SM-T815,5654,108330,269
