name,latency,read_uncached,write,price
A-DATA Technology AD4U240038G17-BHYA 8GB,23,14429,8969,NA
A-DATA Technology AE4S240038G17-BHYA 8GB,25,15639,11953,NA
A-DATA Technology AM1P24HC4R1-BUNS 4GB,28,14789,9455,NA
A-DATA Technology AM2P24HC8T1-BUSS 8GB,23,16079,12014,NA
A-DATA Technology AO1P21FC8T1-BSKS 8GB,27,13499,7929,NA
A-DATA Technology AO1P24HC4R1-BSIS 4GB,27,15352,9066,NA
A-DATA Technology AO1P24HC8T1-BQXS 8GB,28,14664,10398,NA
A-DATA Technology AO1P24HC8T1-BSFS 8GB,28,13956,8974,NA
A-DATA Technology AO2P21FC8R2-BRGS 8GB,22,18076,13322,NA
A-DATA Technology AO2P26KC8T1-BPYS 8GB,23,15111,7805,NA
A-DATA Technology AX4S2800316G18-B 16GB,25,15442,10910,NA
A-DATA Technology DDR4 2133 2OZ 8GB,28,13648,9982,NA
A-DATA Technology DDR4 2400 16GB,23,16602,10996,NA
A-DATA Technology DDR4 2400 2OZ 8GB,24,15912,11498,NA
A-DATA Technology DDR4 2666 2OZ 4GB,23,16919,12432,NA
A-DATA Technology DDR4 2666 8GB,21,17663,11389,NA
A-DATA Technology DDR4 2800 2OZ 4GB,24,16065,12100,NA
A-DATA Technology DDR4 3000 2OZ 8GB,23,17223,13007,NA
A-DATA Technology DDR4 3000 8GB,23,17441,12954,$389.99
A-DATA Technology DDR4 3200 2OZ 4GB,19,20355,15960,NA
A-DATA Technology DDR4 3200 8GB,20,18787,13616,NA
A-DATA Technology DDR4 3300 2OZ 4GB,17,21951,16975,NA
A-DATA Technology DDR4 3333 2OZ 4GB,24,15510,11830,NA
A-DATA Technology DDR4 3600 2OZ 8GB,18,20580,15857,NA
AMD R748G2400U2S 8GB,23,16267,10433,NA
AMD R748G2400U2S-UO 8GB,21,18248,13747,NA
AMD R948G2806U2S 8GB,25,14676,10185,NA
Apacer Technology 76.C102G.D170B 8GB,23,16996,13144,NA
Apacer Technology 76.D105G.D090B 16GB,23,17917,13326,NA
Apacer Technology 76.D305G.D060B 16GB,25,16610,12338,NA
Apacer Technology 76.D305G.D390B 16GB,28,14292,7583,NA
Apacer Technology 78.C1GM3.C7Z0C 8GB,26,14738,9694,NA
Apacer Technology 78.C1GMM.AUF0B 8GB,29,13313,10094,NA
Apacer Technology 78.C1GQB.4032B 8GB,24,17780,13605,NA
Apacer Technology 78.C1GS7.AUW0B 8GB,22,17900,12855,NA
Apacer Technology 78.C1GS7.DFW0C 8GB,22,17302,12557,NA
Apacer Technology 78.C2GFL.C720B 8GB,28,14458,11104,NA
Apacer Technology 78.CAGP7.AZC0B 8GB,23,15930,11901,NA
Apacer Technology 78.CAGPW.40C0B 8GB,21,18380,14298,NA
Apacer Technology 78.D2GFH.4030B 16GB,25,18033,13293,NA
Avant Technology J641GU42J5213N0 8GB,26,14416,9706,NA
Avant Technology J641GU42J7240ND 8GB,24,15636,12292,NA
Avant Technology J642GU42J5213N1 16GB,27,14746,10049,NA
Avant Technology J642GU42J5213N2 16GB,29,14034,8862,NA
Avant Technology J642GU42J5213N4 16GB,29,13774,10659,NA
Avant Technology J642GU42J7240N2 16GB,35,13899,10054,NA
Avant Technology J642GU42J7240N4 16GB,25,16417,12538,NA
Avant Technology J642GU42J9266N2 16GB,26,16250,12084,NA
Avant Technology W641GU42J7240NB 8GB,23,17557,13369,NA
Avant Technology W641GU42J7240NC 8GB,25,14715,9351,NA
Avant Technology W642GU42J5213N8 16GB,30,13128,9074,NA
Avant Technology W642GU42J7240N8 16GB,25,17079,13360,NA
Avexir Technologies Corporation DDR4-2133 CL15 4GB 4GB,26,13198,9126,NA
Avexir Technologies Corporation DDR4-2133 CL15 8GB 8GB,28,14041,10390,NA
Avexir Technologies Corporation DDR4-2400 4GB CL16 4GB,26,15610,11626,NA
Avexir Technologies Corporation DDR4-2400 8GB CL16 8GB,26,14598,11771,NA
Avexir Technologies Corporation DDR4-2400 CL16 16GB 16GB,27,14210,9669,NA
Avexir Technologies Corporation DDR4-2400 CL16 4GB 4GB,24,15919,11760,NA
Avexir Technologies Corporation DDR4-2400 CL16 8GB 8GB,24,15799,11370,NA
Avexir Technologies Corporation DDR4-2666 CL15 4GB 4GB,23,17138,13467,NA
Avexir Technologies Corporation DDR4-2666 CL15 8GB 8GB,22,17403,13002,NA
Avexir Technologies Corporation DDR4-2666 CL17 4GB 4GB,23,17035,12910,NA
Avexir Technologies Corporation DDR4-2666 CL17 8GB 8GB,25,15919,12017,NA
Avexir Technologies Corporation DDR4-2800 CL15 4GB 4GB,22,17700,13655,NA
Avexir Technologies Corporation DDR4-2800 CL15 8GB 8GB,23,16962,12686,NA
Avexir Technologies Corporation DDR4-3000 CL15 4GB 4GB,22,17329,13657,NA
Avexir Technologies Corporation DDR4-3000 CL15 8GB 8GB,23,17574,13359,NA
Avexir Technologies Corporation DDR4-3000 CL16 4GB 4GB,24,16335,12772,NA
Avexir Technologies Corporation DDR4-3000 CL16 8GB 8GB,24,16244,12876,NA
Avexir Technologies Corporation DDR4-3000 CL17 8GB 8GB,23,16302,10829,NA
Avexir Technologies Corporation DDR4-3200 CL16 4GB 4GB,20,18912,14579,NA
Avexir Technologies Corporation DDR4-3200 CL16 8GB 8GB,21,18649,14017,NA
Avexir Technologies Corporation DDR4-3600 CL17 4GB 4GB,24,16990,13465,NA
Corsair CM4B16G1J2400A16K2-O 16GB,22,18750,13541,NA
Corsair CM4B16G4J2400A16K2-O 16GB,22,18189,13561,NA
Corsair CM4B16G7L2666A16K2-O 16GB,22,18411,14799,NA
Corsair CM4B8G1J2400A16K2-O 8GB,21,18216,13277,NA
Corsair CM4B8G1J2400A16K2-ON 8GB,22,16752,12086,NA
Corsair CM4B8G2J2133A15S 8GB,25,15182,11726,NA
Corsair CM4B8G2J2400A14K 8GB,24,16400,11778,NA
Corsair CM4B8G2J2666A15D 8GB,24,16297,12333,NA
Corsair CM4B8G2J3000K15K 8GB,23,16875,12921,NA
Corsair CM4B8G4J2400A16K2-ON 8GB,21,18522,13122,NA
Corsair CM4B8G7L2666A16K2-O 8GB,21,17843,13536,NA
Corsair CM4X16GC3000C15D4 16GB,21,18496,14067,NA
Corsair CM4X16GC3000C15K4 16GB,21,18476,15755,NA
Corsair CM4X16GC3000C16K4D 16GB,28,14258,14186,NA
Corsair CM4X16GE2133C13K8 16GB,23,16978,12705,NA
Corsair CM4X16GE2400C16S4 16GB,24,16050,11728,NA
Corsair CM4X16GE2666C16K8 16GB,27,15633,11968,NA
Corsair CM4X4GD3000C15K4 4GB,21,17985,13559,NA
Corsair CM4X4GF2133C13K4 4GB,24,15353,11217,NA
Corsair CM4X4GF2666C16K4 4GB,26,14254,9913,NA
Corsair CM4X4GF3000C15K4 4GB,22,18135,12805,NA
Corsair CM4X8GC3000C15K4 8GB,21,18994,14518,NA
Corsair CM4X8GD3000C15K4 8GB,20,19555,15037,NA
Corsair CM4X8GD3000C16K4 8GB,20,19187,14811,NA
Corsair CM4X8GD3000C16K4D 8GB,20,19014,14206,NA
Corsair CM4X8GD3200C16K4 8GB,19,19853,15373,NA
Corsair CM4X8GE2400C14K4 8GB,23,17276,13270,NA
Corsair CM4X8GE2400C15K4 8GB,22,15516,8434,NA
Corsair CM4X8GE2400C16K4 8GB,21,16711,10244,NA
Corsair CM4X8GE2666C16K4 8GB,24,16074,11979,NA
Corsair CM4X8GE2666C16K8 8GB,25,15445,11345,NA
Corsair CM4X8GE3000C15K4 8GB,21,19287,14837,NA
Corsair CM4X8GF2133C13K4 8GB,24,15552,10633,NA
Corsair CM4X8GF2400C14K4 8GB,22,17436,12485,NA
Corsair CM4X8GF2400C16K4 8GB,23,17023,12434,NA
Corsair CM4X8GF2400C16S4 8GB,24,16768,12777,NA
Corsair CM4X8GF2666C16K4 8GB,22,17649,13152,NA
Corsair CM4X8GF2666C16K8 8GB,21,17828,12952,NA
Corsair CM4X8GF3000C15K4 8GB,20,20062,14893,NA
Corsair CMD128GX4M8A2400C14 16GB,32,12149,9110,$999.99*
Corsair CMD128GX4M8A2666C15 16GB,26,14144,9904,$949.99*
Corsair CMD128GX4M8B2800C14 16GB,27,14208,10120,$969.99*
Corsair CMD16GX4M2A2400C14 8GB,22,18605,13818,NA
Corsair CMD16GX4M2A2666C15 8GB,24,16189,11765,$139.99
Corsair CMD16GX4M2B2400C10 8GB,22,17455,12154,$429.81
Corsair CMD16GX4M2B3000C15 8GB,21,18137,13668,$144.99
Corsair CMD16GX4M2B3200C14 8GB,20,19834,16368,$219.99*
Corsair CMD16GX4M2B3200C16 8GB,22,17944,13575,$159.99
Corsair CMD16GX4M2B3466C16 8GB,18,20715,16154,$496.75*
Corsair CMD16GX4M2B3600C18 8GB,19,20751,15921,$359.99
Corsair CMD16GX4M2B3733C17 8GB,24,17291,12295,$539.86
Corsair CMD16GX4M2B3866C18 8GB,19,20369,14931,$269.99
Corsair CMD16GX4M2C3333C16 8GB,19,19692,14718,$169.99*
Corsair CMD16GX4M2E4000C19 8GB,19,19691,15552,$469.99
Corsair CMD16GX4M4A2666C15 4GB,27,13916,11073,$320.13
Corsair CMD16GX4M4A2666C16 4GB,27,13999,11145,$358.99
Corsair CMD16GX4M4A2800C16 4GB,26,14200,11254,$253.19*
Corsair CMD16GX4M4B2133C10 4GB,24,16076,11655,$204.67*
Corsair CMD16GX4M4B2400C10 4GB,23,14821,10383,$145.99*
Corsair CMD16GX4M4B3000C14 4GB,25,15815,13069,$452.44*
Corsair CMD16GX4M4B3000C15 4GB,24,15417,12103,$469.99
Corsair CMD16GX4M4B3200C14 4GB,28,13046,9194,$199.99*
Corsair CMD16GX4M4B3200C15 4GB,22,17744,14063,$297.49*
Corsair CMD16GX4M4B3200C16 4GB,25,14616,11682,$199.99*
Corsair CMD16GX4M4B3200C16-R 4GB,23,16400,12095,NA
Corsair CMD16GX4M4B3300C16 4GB,22,16877,13394,$270.78*
Corsair CMD16GX4M4B3333C16 4GB,18,19410,15887,NA
Corsair CMD16GX4M4B3400C16 4GB,22,17162,13160,$249.99*
Corsair CMD16GX4M4B3600C18 4GB,24,15893,12980,$279.99*
Corsair CMD16GX4M4C3200C15 4GB,25,14275,11971,$194.99*
